SEQ_ID	SCHoCO	Strain	Medium	pair	sample	keep	depth	newName
E-A2-no3-e_S150	NoCas	A2	no3	p18	E.A2.no3.e_S150	yes	64808	p18_NoCas_A2_no3
E-A2-no3-f_S162	NoCas	A2	no3	p19	E.A2.no3.f_S162	yes	52858	p19_NoCas_A2_no3
E-A2-vit-d_S137	NoCas	A2	vit	p20	E.A2.vit.d_S137	yes	40692	p20_NoCas_A2_vit
E-A2-vit-a_S101	NoCas	A2	vit	p21	E.A2.vit.a_S101	yes	21063	p21_NoCas_A2_vit
E-A2-vit-b_S113	NoCas	A2	vit	p22	E.A2.vit.b_S113	yes	25877	p22_NoCas_A2_vit
E-A2-vit-c_S125	NoCas	A2	vit	p23	E.A2.vit.c_S125	yes	37204	p23_NoCas_A2_vit
E-H5-MFa_S106	NoCas	H5	MF	p24	E.H5.MFa_S106	yes	22242	p24_NoCas_H5_MF
E-H5-MFe_S154	NoCas	H5	MF	p25	E.H5.MFe_S154	yes	60401	p25_NoCas_H5_MF
E-H5-no3-b_S120	NoCas	H5	no3	p28	E.H5.no3.b_S120	yes	88154	p28_NoCas_H5_no3
E-H5-no3-d_S144	NoCas	H5	no3	p30	E.H5.no3.d_S144	yes	49400	p30_NoCas_H5_no3
E-H5-vit-b_S119	NoCas	H5	vit	p32	E.H5.vit.b_S119	yes	75809	p32_NoCas_H5_vit
E-H5-vit-c_S131	NoCas	H5	vit	p33	E.H5.vit.c_S131	yes	73507	p33_NoCas_H5_vit
E-H5-vit-d_S143	NoCas	H5	vit	p34	E.H5.vit.d_S143	yes	67620	p34_NoCas_H5_vit
P-A1-MFa_S1	NoCas	A1	MF	p35	P.A1.MFa_S1	yes	13668	p35_NoCas_A1_MF
P-A1-MFb_S13	NoCas	A1	MF	p36	P.A1.MFb_S13	yes	56763	p36_NoCas_A1_MF
P-A1-MFc_S25	NoCas	A1	MF	p37	P.A1.MFc_S25	yes	42531	p37_NoCas_A1_MF
P-A1-MFd_S37	NoCas	A1	MF	p38	P.A1.MFd_S37	yes	54162	p38_NoCas_A1_MF
P-A1-no3-a_S3	NoCas	A1	no3	p39	P.A1.no3.a_S3	yes	60985	p39_NoCas_A1_no3
P-A1-no3-b_S15	NoCas	A1	no3	p40	P.A1.no3.b_S15	yes	31685	p40_NoCas_A1_no3
P-A1-no3-c_S27	NoCas	A1	no3	p41	P.A1.no3.c_S27	yes	12557	p41_NoCas_A1_no3
P-A1-no3-d_S39	NoCas	A1	no3	p42	P.A1.no3.d_S39	yes	16668	p42_NoCas_A1_no3
P-A1-vit-a_S2	NoCas	A1	vit	p43	P.A1.vit.a_S2	yes	23644	p43_NoCas_A1_vit
P-A1-vit-b_S14	NoCas	A1	vit	p44	P.A1.vit.b_S14	yes	30929	p44_NoCas_A1_vit
P-A1-vit-c_S26	NoCas	A1	vit	p45	P.A1.vit.c_S26	yes	17966	p45_NoCas_A1_vit
P-A1-vit-d_S38	NoCas	A1	vit	p46	P.A1.vit.d_S38	yes	18584	p46_NoCas_A1_vit
P-A2-MFa_S4	NoCas	A2	MF	p47	P.A2.MFa_S4	yes	44345	p47_NoCas_A2_MF
P-A2-MFb_S16	NoCas	A2	MF	p48	P.A2.MFb_S16	yes	45782	p48_NoCas_A2_MF
P-A2-MFc_S28	NoCas	A2	MF	p49	P.A2.MFc_S28	yes	21342	p49_NoCas_A2_MF
P-A2-MFd_S40	NoCas	A2	MF	p50	P.A2.MFd_S40	yes	46370	p50_NoCas_A2_MF
P-A2-no3-a_S6	NoCas	A2	no3	p51	P.A2.no3.a_S6	yes	33627	p51_NoCas_A2_no3
P-A2-no3-b_S18	NoCas	A2	no3	p52	P.A2.no3.b_S18	yes	21913	p52_NoCas_A2_no3
